Captions,Label,Cleaned_Captions
"Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am
",0,yup ok go home look timing msg xuhui going learn nd may lesson
"Oops, I'll let you know when my roommate's done
",0,oops ill let know roommate done
"I see the letter B on my car
",0,see letter b car
"Anything lor... U decide...
",0,anything lor u decide
"Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!
",0,hello hows saturday go texting see youd decided anything tomo im trying invite anything
"Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola
",0,pls go ahead watt wanted sure great weekend abiola
"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy
",0,forget tell want need crave love sweet arabian steed mmmmmm yummy
"07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow
",1,rodger burn msg tried call reply sm free nokia mobile free camcorder please call delivery tomorrow
"WHO ARE YOU SEEING?
",0,seeing
"Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...
",0,great hope like man well endowed ltgt inch
"No calls..messages..missed calls
",0,callsmessagesmissed call
"Didn't you get hep b immunisation in nigeria.
",0,didnt get hep b immunisation nigeria
"Fair enough, anything going on?
",0,fair enough anything going
"Yeah hopefully, if tyler can't do it I could maybe ask around a bit
",0,yeah hopefully tyler cant could maybe ask around bit
"U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.
",0,u dont know stubborn didnt even want go hospital kept telling mark im weak sucker hospital weak sucker
"What you thinked about me. First time you saw me in class.
",0,thinked first time saw class
"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;
",0,gram usually run like ltgt half eighth smarter though get almost whole second gram ltgt
"K fyi x has a ride early tomorrow morning but he's crashing at our place tonight
",0,k fyi x ride early tomorrow morning he crashing place tonight
"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.
",0,wow never realized embarassed accomodations thought liked since best could always seemed happy cave im sorry didnt dont give im sorry offered im sorry room embarassing
"SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV
",1,sm ac sptv new jersey devil detroit red wing play ice hockey correct incorrect end reply end sptv
"Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;
",0,know mallika sherawat yesterday find lturlgt
"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! 
",1,congrats year special cinema pas call c suprman v matrix starwars etc free bxipwe pm dont miss
"Sorry, I'll call later in meeting.
",0,sorry ill call later meeting
"Tell where you reached
",0,tell reached
"Yes..gauti and sehwag out of odi series.
",0,yesgauti sehwag odi series
"Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.
",0,gon na pick burger way home cant even move pain killing
"Ha ha ha good joke. Girls are situation seekers.
",0,ha ha ha good joke girl situation seeker
"Its a part of checking IQ
",0,part checking iq
"Sorry my roommates took forever, it ok if I come by now?
",0,sorry roommate took forever ok come
"Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.
",0,ok lar double check wif da hair dresser already said wun cut v short said cut look nice
"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589
",1,valued customer pleased advise following recent review mob awarded bonus prize call
"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...
",0,today song dedicated day song u dedicate send ur valuable frnds first rply
"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ
",1,urgent ur awarded complimentary trip eurodisinc trav acoentry claim txt dis morefrmmob shracomorsglsuplt l aj
"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!
",1,hear new divorce barbie come ken stuff
"I plane to give on this month end.
",0,plane give month end
"Wah lucky man... Then can save money... Hee...
",0,wah lucky man save money hee
"Finished class where are you.
",0,finished class
"HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX
",0,hi babe im home wan na something xx
"K..k:)where are you?how did you performed?
",0,kkwhere youhow performed
"U can call me now...
",0,u call
"I am waiting machan. Call me once you free.
",0,waiting machan call free
"Thats cool. i am a gentleman and will treat you with dignity and respect.
",0,thats cool gentleman treat dignity respect
"I like you peoples very much:) but am very shy pa.
",0,like people much shy pa
"Does not operate after  &lt;#&gt;  or what
",0,operate ltgt
"Its not the same here. Still looking for a job. How much do Ta's earn there.
",0,still looking job much ta earn
"Sorry, I'll call later
",0,sorry ill call later
"K. Did you call me just now ah? 
",0,k call ah
"Ok i am on the way to home hi hi
",0,ok way home hi hi
"You will be in the place of that man
",0,place man
"Yup next stop.
",0,yup next stop
"I call you later, don't have network. If urgnt, sms me.
",0,call later dont network urgnt sm
"For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.
",0,real u getting yo need ticket one jacket im done already used multis
"Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.
",0,yes started send request make pain came back im back bed double coin factory got ta cash nitros
"I'm really not up to it still tonight babe
",0,im really still tonight babe
"Ela kano.,il download, come wen ur free..
",0,ela kanoil download come wen ur free
"Yeah do! Dont stand to close tho- youll catch something!
",0,yeah dont stand close tho youll catch something
"Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. 
",0,sorry pain ok meet another night spent late afternoon casualty mean havent done stuffmoro includes time sheet sorry
"Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!
",0,smile pleasure smile pain smile trouble pours like rain smile sum hurt u smile becoz someone still love see u smiling
"Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!
",1,please call customer service representative ampm guaranteed cash prize
"Havent planning to buy later. I check already lido only got 53Not Scam show in e afternoon. U finish work already?
",0,havent planning buy later check already lido got scam show e afternoon u finish work already
"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16
",1,free ringtone waiting collected simply text password mix verify get usher britney fml po box mk h ppw
"Watching telugu movie..wat abt u?
",0,watching telugu moviewat abt u
"i see. When we finish we have loads of loans to pay
",0,see finish load loan pay
"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?""
",0,hi wk ok hols yes bit run forgot hairdresser appointment four need get home n shower beforehand cause prob u
"I see a cup of coffee animation
",0,see cup coffee animation
"Please don't text me anymore. I have nothing else to say.
",0,please dont text anymore nothing else say
"Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx
",0,okay name ur price long legal wen pick u ave x am xx
"I'm still looking for a car to buy. And have not gone 4the driving test yet.
",0,im still looking car buy gone driving test yet
"As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
",0,per request melle melle oru minnaminunginte nurungu vettam set callertune caller press copy friend callertune
"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.
",0,wow youre right didnt mean guess gave boston men changed search location nyc something changed cuz signin page still say boston
"Umma my life and vava umma love you lot dear
",0,umma life vava umma love lot dear
"Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.
",0,thanks lot wish birthday thanks making birthday truly memorable
"Aight, I'll hit you up when I get some cash
",0,aight ill hit get cash
"How would my ip address test that considering my computer isn't a minecraft server
",0,would ip address test considering computer isnt minecraft server
"I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...
",0,know grumpy old people mom like better lying always one play joke
"Dont worry. I guess he's busy.
",0,dont worry guess he busy
"What is the plural of the noun research?
",0,plural noun research
"Going for dinner.msg you after.
",0,going dinnermsg
"I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.
",0,im ok wif co like try new thing scared u dun like mah co u said loud
"GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm
",1,gent trying contact last weekend draw show prize guaranteed call claim code k valid hr ppm
"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?
",0,wa ur openin sentence formal anyway im fine juz tt im eatin much n puttin weighthaha anythin special happened
"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.
",0,entered cabin pa said happy bday bos felt special askd lunch lunch invited apartment went
"You are a winner U have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) 
",1,winner u specially selected receive holiday flight inc speak live operator claim pmin
"Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! 
",0,goodo yes must speak friday eggpotato ratio tortilla needed
"Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.
",0,hmmmy uncle informed he paying school directly pls buy food
"PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires
",1,private account statement show unredeemed bonus point claim call identifier code expires
"URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM
",1,urgent mobile awarded bonus caller prize final try contact u call landline boxwrc ppm
"here is my new address -apples&pairs&all that malarky
",0,new address applespairsall malarky
"Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app
",1,today voda number ending selected receive award match please call quoting claim code standard rate app
"I am going to sao mu today. Will be done only at 12 
",0,going sao mu today done
"Ü predict wat time ü'll finish buying?
",0,predict wat time finish buying
"Good stuff, will do.
",0,good stuff
"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.
",0,knowyetunde hasnt sent money yet sent text bother sending dont involve anything shouldnt imposed anything first place apologise
"Are you there in room.
",0,room
"HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx
",0,hey girl r u hope u r well del r bak long time c give call sum time lucyxx
"K..k:)how much does it cost?
",0,kkhow much cost
"I'm home.
",0,im home
"Dear, will call Tmorrow.pls accomodate.
",0,dear call tmorrowpls accomodate
"First answer my question.
",0,first answer question
"Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone
",1,sunshine quiz wkly q win top sony dvd player u know country algarve txt ansr sptyrone
"Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p
",1,want get laid tonight want real dogging location sent direct ur mob join uk largest dogging network bt txting gravel nt eca pmsgp
"I only haf msn. It's yijue@hotmail.com
",0,haf msn yijuehotmailcom
"He is there. You call and meet him
",0,call meet
"No no. I will check all rooms befor activities
",0,check room befor activity
"You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again
",1,youll rcv msg chat svc free hardcore service text go u get nothing u must age verify yr network try
"Got c... I lazy to type... I forgot ü in lect... I saw a pouch but like not v nice...
",0,got c lazy type forgot lect saw pouch like v nice
"K, text me when you're on the way
",0,k text youre way
"Sir, Waiting for your mail.
",0,sir waiting mail
"A swt thought: ""Nver get tired of doing little things 4 lovable persons.."" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8
",0,swt thought nver get tired little thing lovable person cozsomtimes little thing occupy biggest part heart gud ni
"I know you are. Can you pls open the back?
",0,know pls open back
"Yes see ya not on the dot
",0,yes see ya dot
"Whats the staff name who is taking class for us?
",0,whats staff name taking class u
"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end
",1,freemsg havent replied text im randy sexy female live local luv hear u netcollex ltd p per msg reply stop end
"Ummma.will call after check in.our life will begin from qatar so pls pray very hard.
",0,ummmawill call check inour life begin qatar pls pray hard
"K..i deleted my contact that why?
",0,ki deleted contact
"Sindu got job in birla soft ..
",0,sindu got job birla soft
"The wine is flowing and i'm i have nevering..
",0,wine flowing im nevering
"Yup i thk cine is better cos no need 2 go down 2 plaza mah.
",0,yup thk cine better co need go plaza mah
"Ok... Ur typical reply...
",0,ok ur typical reply
"As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
",0,per request melle melle oru minnaminunginte nurungu vettam set callertune caller press copy friend callertune
"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.
",0,everywhere dirt floor window even shirt sometimes open mouth come flowing dream world without half chore time joy lot tv show ill see guess like thing must exist like rain hail mist time done become one
"Aaooooright are you at work?
",0,aaooooright work
"I'm leaving my house now...
",0,im leaving house
"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?
",0,hello love get interview today happy good boy think meare missing
"Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery
",1,customer service annoncement new year delivery waiting please call arrange delivery
"You are a winner U have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810
",1,winner u specially selected receive cash holiday flight inc speak live operator claim
"Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life
",0,keep safe need miss already envy everyone see real life
"New car and house for my parents.:)i have only new job in hand:)
",0,new car house parentsi new job hand
"I'm so in love with you. I'm excited each day i spend with you. You make me so happy.
",0,im love im excited day spend make happy
"-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468
",1,pls stop bootydelious f inviting friend reply yes see stop send stop frnd
"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu
",1,bangbabes ur order way u receive service msg download ur content u goto wap bangb tv ur mobile internetservice menu
"I place all ur points on e cultures module already.
",0,place ur point e culture module already
"URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only
",1,urgent trying contact last weekend draw show prize guaranteed call claim code valid hr
"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?
",0,hi frnd best way avoid missunderstding wit beloved one
"Great escape. I fancy the bridge but needs her lager. See you tomo 
",0,great escape fancy bridge need lager see tomo
"Yes :)it completely in out of form:)clark also utter waste.
",0,yes completely formclark also utter waste
"Sir, I need AXIS BANK account no and bank address.
",0,sir need axis bank account bank address
"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... 
",0,hmmm thk sure got time hop ard ya go free abt muz call u discus liao
"What time you coming down later? 
",0,time coming later
"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... 
",0,bloody hell cant believe forgot surname mr ill give u clue spanish begin
"Well, i'm gonna finish my bath now. Have a good...fine night.
",0,well im gon na finish bath goodfine night
"Let me know when you've got the money so carlos can make the call
",0,let know youve got money carlos make call
"U still going to the mall?
",0,u still going mall
"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth
",0,turn friend staying whole show wont back til ltgt feel free go ahead smoke ltgt worth
"Text her. If she doesnt reply let me know so i can have her log in
",0,text doesnt reply let know log
"Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.
",0,hi spoke maneesha v wed like know satisfied experience reply toll free yes
"You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend
",0,lifted hope offer money need especially end month approach hurt studying anyways gr weekend
"Lol no. U can trust me.
",0,lol u trust
"ok. I am a gentleman and will treat you with dignity and respect.
",0,ok gentleman treat dignity respect
"He will, you guys close?
",0,guy close
"Going on nothing great.bye
",0,going nothing greatbye
"Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?
",0,hello handsome finding job lazy working towards getting back net mummy wheres boytoy miss
"Haha awesome, be there in a minute
",0,haha awesome minute
"Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!
",1,please call customer service representative freephone ampm guaranteed cash prize
"Have you got Xmas radio times. If not i will get it now
",0,got xmas radio time get
"I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...
",0,jus reached home go bathe first si using net tell u finish k
"Are you unique enough? Find out from 30th August. www.areyouunique.co.uk
",1,unique enough find th august
"I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|
",0,im sorry ive joined league people dont keep touch mean great deal friend time even great personal cost great week
"Hi :)finally i completed the course:)
",0,hi finally completed course
"It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.
",0,stop however suggest stay someone able give or every stool
"How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day
",0,hope youve settled new school year wishin gr day
"Gud mrng dear hav a nice day
",0,gud mrng dear hav nice day
"Did u got that persons story
",0,u got person story
"is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? 
",0,hamster dead hey tmr meet pm orchard mrt
"Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx
",0,hi kate evening hope see tomorrow bit bloody babyjontet txt back u xxx
"Found it, ENC  &lt;#&gt; , where you at?
",0,found enc ltgt
"I sent you  &lt;#&gt;  bucks
",0,sent ltgt buck
"Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx
",0,hello darlin ive finished college txt u finish u love kate xxx
"Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .
",0,account refilled successfully inr ltdecimalgt keralacircle prepaid account balance r ltdecimalgt transaction id kr ltgt
"Goodmorning sleeping ga.
",0,goodmorning sleeping ga
"U call me alter at 11 ok.
",0,u call alter ok
"Ü say until like dat i dun buy ericsson oso cannot oredi lar...
",0,say like dat dun buy ericsson oso oredi lar
"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.
",0,entered cabin pa said happy bday bos felt special askd lunch lunch invited apartment went
"Aight yo, dats straight dogg
",0,aight yo dat straight dogg
"You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill
",0,please give u connection today ltdecimalgt refund bill
"Both :) i shoot big loads so get ready!
",0,shoot big load get ready
"What's up bruv, hope you had a great break. Do have a rewarding semester.
",0,whats bruv hope great break rewarding semester
"Home so we can always chat
",0,home always chat
"K:)k:)good:)study well.
",0,kkgoodstudy well
"Yup... How ü noe leh...
",0,yup noe leh
"Sounds great! Are you home now?
",0,sound great home
"Finally the match heading towards draw as your prediction.
",0,finally match heading towards draw prediction
"Tired. I haven't slept well the past few nights.
",0,tired havent slept well past night
"Easy ah?sen got selected means its good..
",0,easy ahsen got selected mean good
"I have to take exam with march 3
",0,take exam march
"Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.
",0,yeah think use gt atm register sure there anyway help let know sure ready
"Ok no prob. Take ur time.
",0,ok prob take ur time
"There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..
",0,o called ubandu run without installing hard diskyou use o copy important file system give repair shop
"Sorry, I'll call later
",0,sorry ill call later
"U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.
",0,u say leh course nothing happen lar say v romantic jus bit lor thk e nite scenery nice leh
"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY £1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18
",1,new mobile must go txt nokia collect todayfrom optout gbpmtmsg
"Would really appreciate if you call me. Just need someone to talk to.
",0,would really appreciate call need someone talk
"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES
",1,u meet ur dream partner soon ur career flyng start find free txt horo followed ur star sign e g horo aries
"Hey company elama po mudyadhu.
",0,hey company elama po mudyadhu
"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . .
",0,life strict teacher bcoz teacher teach lesson amp conduct exam life first conduct exam amp teach lesson happy morning
"Dear good morning now only i am up
",0,dear good morning
"Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.
",0,get gandhipuram walk cross cut road right side ltgt street road turn first right
"Dear we are going to our rubber place
",0,dear going rubber place
"Sorry battery died, yeah I'm here
",0,sorry battery died yeah im
"Yes:)here tv is always available in work place..
",0,yeshere tv always available work place
"Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence
",1,text meet someone sexy today u find date even flirt u join p reply name age eg sam msg recdthirtyeight penny
"I have printed it oh. So  &lt;#&gt;  come upstairs
",0,printed oh ltgt come upstairs
"Or ill be a little closer like at the bus stop on the same street
",0,ill little closer like bus stop street
"Where are you?when wil you reach here?
",0,youwhen wil reach
"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!
",0,new theory argument win situation loses person dont argue ur friend kick amp say im always correct
"U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597
",1,u secret admirer looking make contact ufind rreveal think ur specialcall
"Tomarrow final hearing on my laptop case so i cant.
",0,tomarrow final hearing laptop case cant
"PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx
",0,pleassssssseeeeee tel v avent done sportsx
